,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method_code,method,state,county,date_of_last_change,cbsa_code
16,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,16:00,2020-01-02,00:00,1.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
17,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,17:00,2020-01-02,01:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
18,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,18:00,2020-01-02,02:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
19,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,19:00,2020-01-02,03:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
20,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,20:00,2020-01-02,04:00,9.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
21,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,21:00,2020-01-02,05:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
22,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,22:00,2020-01-02,06:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
23,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-01,23:00,2020-01-02,07:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
24,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,00:00,2020-01-02,08:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
25,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,01:00,2020-01-02,09:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
26,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,02:00,2020-01-02,10:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
27,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,03:00,2020-01-02,11:00,2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
28,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,04:00,2020-01-02,12:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
29,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,05:00,2020-01-02,13:00,0.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
30,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,06:00,2020-01-02,14:00,-2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
31,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,07:00,2020-01-02,15:00,0.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
32,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,08:00,2020-01-02,16:00,1.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
33,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,09:00,2020-01-02,17:00,2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
34,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,10:00,2020-01-02,18:00,1.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
