,code,value_represented
182,17340,"Clearlake, CA"
183,17380,"Cleveland, MS"
184,17420,"Cleveland, TN"
185,17460,"Cleveland-Elyria, OH"
186,17500,"Clewiston, FL"
187,17540,"Clinton, IA"
188,17580,"Clovis, NM"
189,17620,"Coamo, PR"
190,17640,"Coco, PR"
191,17660,"Coeur d'Alene, ID"
192,17700,"Coffeyville, KS"
193,17740,"Coldwater, MI"
194,17780,"College Station-Bryan, TX"
195,17820,"Colorado Springs, CO"
196,17860,"Columbia, MO"
197,17900,"Columbia, SC"
198,17940,"Columbia, TN"
199,17980,"Columbus, GA-AL"
200,18020,"Columbus, IN"
201,18060,"Columbus, MS"
202,18100,"Columbus, NE"
203,18140,"Columbus, OH"
204,18180,"Concord, NH"
205,18220,"Connersville, IN"
206,18260,"Cookeville, TN"
207,18300,"Coos Bay, OR"
208,18340,"Corbin, KY"
209,18380,"Cordele, GA"
210,18420,"Corinth, MS"
211,18460,"Cornelia, GA"
212,18500,"Corning, NY"
213,18580,"Corpus Christi, TX"
214,18620,"Corsicana, TX"
215,18660,"Cortland, NY"
216,18700,"Corvallis, OR"
217,18740,"Coshocton, OH"
218,18780,"Craig, CO"
219,18820,"Crawfordsville, IN"
220,18860,"Crescent City, CA"
221,18880,"Crestview-Fort Walton Beach-Destin, FL"
222,18900,"Crossville, TN"
223,18940,"Crowley, LA"
224,18980,"Cullman, AL"
225,19000,"Cullowhee, NC"
226,19020,"Culpeper, VA"
227,19060,"Cumberland, MD-WV"
228,19100,"Dallas-Fort Worth-Arlington, TX"
229,19140,"Dalton, GA"
230,19180,"Danville, IL"
231,19220,"Danville, KY"
232,19260,"Danville, VA"
233,19300,"Daphne-Fairhope-Foley, AL"
234,19340,"Davenport-Moline-Rock Island, IA-IL"
235,19380,"Dayton, OH"
236,19420,"Dayton, TN"
237,19460,"Decatur, AL"
238,19500,"Decatur, IL"
239,19540,"Decatur, IN"
240,19580,"Defiance, OH"
241,19620,"Del Rio, TX"
242,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
243,19700,"Deming, NM"
244,19740,"Denver-Aurora-Lakewood, CO"
245,19760,"DeRidder, LA"
246,19780,"Des Moines-West Des Moines, IA"
247,19820,"Detroit-Warren-Dearborn, MI"
248,19860,"Dickinson, ND"
249,19900,"Dillon, SC"
250,19940,"Dixon, IL"
251,19980,"Dodge City, KS"
252,20020,"Dothan, AL"
253,20060,"Douglas, GA"
254,20100,"Dover, DE"
255,20140,"Dublin, GA"
256,20180,"DuBois, PA"
257,20220,"Dubuque, IA"
258,20260,"Duluth, MN-WI"
259,20300,"Dumas, TX"
260,20340,"Duncan, OK"
261,20380,"Dunn, NC"
262,20420,"Durango, CO"
263,20460,"Durant, OK"
264,20500,"Durham-Chapel Hill, NC"
265,20540,"Dyersburg, TN"
266,20580,"Eagle Pass, TX"
267,20620,"East Liverpool-Salem, OH"
268,20660,"Easton, MD"
269,20700,"East Stroudsburg, PA"
270,20740,"Eau Claire, WI"
271,20780,"Edwards, CO"
272,20820,"Effingham, IL"
273,20900,"El Campo, TX"
274,20940,"El Centro, CA"
275,20980,"El Dorado, AR"
276,21020,"Elizabeth City, NC"
277,21060,"Elizabethtown-Fort Knox, KY"
278,21120,"Elk City, OK"
279,21140,"Elkhart-Goshen, IN"
280,21180,"Elkins, WV"
281,21220,"Elko, NV"
282,21260,"Ellensburg, WA"
283,21300,"Elmira, NY"
284,21340,"El Paso, TX"
285,21380,"Emporia, KS"
286,21420,"Enid, OK"
287,21460,"Enterprise, AL"
288,21500,"Erie, PA"
289,21540,"Escanaba, MI"
290,21580,"Espa¤ola, NM"
291,21640,"Eufaula, AL-GA"
292,21660,"Eugene, OR"
293,21700,"Eureka-Arcata-Fortuna, CA"
294,21740,"Evanston, WY"
295,21780,"Evansville, IN-KY"
296,21820,"Fairbanks, AK"
297,21840,"Fairfield, IA"
298,21860,"Fairmont, MN"
299,21900,"Fairmont, WV"
300,21940,"Fajardo, PR"
301,21980,"Fallon, NV"
302,22020,"Fargo, ND-MN"
303,22060,"Faribault-Northfield, MN"
304,22100,"Farmington, MO"
305,22140,"Farmington, NM"
306,22180,"Fayetteville, NC"
307,22220,"Fayetteville-Springdale-Rogers, AR-MO"
308,22260,"Fergus Falls, MN"
309,22280,"Fernley, NV"
310,22300,"Findlay, OH"
311,22340,"Fitzgerald, GA"
312,22380,"Flagstaff, AZ"
313,22420,"Flint, MI"
314,22500,"Florence, SC"
315,22520,"Florence-Muscle Shoals, AL"
316,22540,"Fond du Lac, WI"
317,22580,"Forest City, NC"
318,22620,"Forrest City, AR"
319,22660,"Fort Collins, CO"
320,22700,"Fort Dodge, IA"
321,22780,"Fort Leonard Wood, MO"
322,22800,"Fort Madison-Keokuk, IA-IL-MO"
323,22820,"Fort Morgan, CO"
